,Unnamed: 0,id,value,date,year-month
539,539,italian course,320.0,2025-10-02,2025-10
523,523,netflix,35.0,2025-10-06,2025-10
175,175,Pizza,30.0,2025-10-07,2025-10
277,277,Feijoada,24.99,2025-10-07,2025-10
383,383,Carangueijo,50.0,2025-10-09,2025-10
382,382,Carangueijo,50.0,2025-10-09,2025-10
381,381,Carangueijo,50.0,2025-10-09,2025-10
447,447,Ice cream,21.0,2025-10-09,2025-10
499,499,gym,85.0,2025-10-10,2025-10
174,174,Pizza,30.0,2025-10-11,2025-10
176,176,Pizza,30.0,2025-10-14,2025-10
464,464,health insurance,300.0,2025-10-15,2025-10
75,75,Lamen,19.99,2025-10-23,2025-10
276,276,Feijoada,32.0,2025-10-26,2025-10
76,76,Lamen,19.99,2025-10-29,2025-10
