,Unnamed: 0,id,value,date,year-month
538,538,italian course,320.0,2025-09-02,2025-09
173,173,Pizza,30.0,2025-09-04,2025-09
522,522,netflix,35.0,2025-09-06,2025-09
275,275,Feijoada,24.99,2025-09-07,2025-09
498,498,gym,85.0,2025-09-10,2025-09
73,73,Lamen,19.99,2025-09-11,2025-09
172,172,Pizza,59.99,2025-09-14,2025-09
463,463,health insurance,300.0,2025-09-15,2025-09
74,74,Lamen,19.99,2025-09-15,2025-09
379,379,Carangueijo,50.0,2025-09-18,2025-09
170,170,Pizza,30.0,2025-09-21,2025-09
446,446,Ice cream,21.0,2025-09-22,2025-09
445,445,Ice cream,21.0,2025-09-22,2025-09
274,274,Feijoada,24.99,2025-09-23,2025-09
380,380,Carangueijo,50.0,2025-09-25,2025-09
377,377,Carangueijo,50.0,2025-09-25,2025-09
378,378,Carangueijo,50.0,2025-09-25,2025-09
72,72,Lamen,19.99,2025-09-28,2025-09
171,171,Pizza,30.0,2025-09-28,2025-09
273,273,Feijoada,32.0,2025-09-29,2025-09
