,Unnamed: 0,id,value,date,year-month
152,152,Pizza,30.0,2025-06-01,2025-06
535,535,italian course,320.0,2025-06-02,2025-06
64,64,Lamen,19.99,2025-06-02,2025-06
58,58,Lamen,34.99,2025-06-02,2025-06
262,262,Feijoada,24.99,2025-06-03,2025-06
432,432,Ice cream,21.0,2025-06-05,2025-06
479,479,braces,100.0,2025-06-05,2025-06
367,367,Carangueijo,50.0,2025-06-05,2025-06
436,436,Ice cream,21.0,2025-06-05,2025-06
434,434,Ice cream,21.0,2025-06-05,2025-06
155,155,Pizza,59.99,2025-06-06,2025-06
519,519,netflix,35.0,2025-06-06,2025-06
264,264,Feijoada,24.99,2025-06-07,2025-06
263,263,Feijoada,24.99,2025-06-08,2025-06
65,65,Lamen,19.99,2025-06-09,2025-06
157,157,Pizza,59.99,2025-06-09,2025-06
495,495,gym,85.0,2025-06-10,2025-06
153,153,Pizza,59.99,2025-06-10,2025-06
160,160,Pizza,30.0,2025-06-10,2025-06
259,259,Feijoada,24.99,2025-06-11,2025-06
62,62,Lamen,19.99,2025-06-12,2025-06
363,363,Carangueijo,50.0,2025-06-12,2025-06
261,261,Feijoada,24.99,2025-06-12,2025-06
362,362,Carangueijo,50.0,2025-06-12,2025-06
368,368,Carangueijo,50.0,2025-06-12,2025-06
161,161,Pizza,30.0,2025-06-13,2025-06
431,431,Ice cream,21.0,2025-06-14,2025-06
151,151,Pizza,59.99,2025-06-14,2025-06
460,460,health insurance,250.0,2025-06-15,2025-06
435,435,Ice cream,21.0,2025-06-15,2025-06
60,60,Lamen,34.99,2025-06-16,2025-06
438,438,Ice cream,21.0,2025-06-16,2025-06
266,266,Feijoada,24.99,2025-06-17,2025-06
365,365,Carangueijo,50.0,2025-06-19,2025-06
430,430,Ice cream,21.0,2025-06-19,2025-06
360,360,Carangueijo,50.0,2025-06-19,2025-06
63,63,Lamen,19.99,2025-06-20,2025-06
433,433,Ice cream,21.0,2025-06-21,2025-06
260,260,Feijoada,24.99,2025-06-21,2025-06
265,265,Feijoada,32.0,2025-06-22,2025-06
440,440,Ice cream,21.0,2025-06-24,2025-06
61,61,Lamen,19.99,2025-06-24,2025-06
437,437,Ice cream,21.0,2025-06-26,2025-06
364,364,Carangueijo,50.0,2025-06-26,2025-06
366,366,Carangueijo,50.0,2025-06-26,2025-06
361,361,Carangueijo,50.0,2025-06-26,2025-06
159,159,Pizza,30.0,2025-06-28,2025-06
439,439,Ice cream,21.0,2025-06-28,2025-06
158,158,Pizza,30.0,2025-06-29,2025-06
59,59,Lamen,34.99,2025-06-29,2025-06
156,156,Pizza,59.99,2025-06-29,2025-06
154,154,Pizza,59.99,2025-06-30,2025-06
