,Unnamed: 0,id,value,date,year-month
537,537,italian course,320.0,2025-08-02,2025-08
169,169,Pizza,30.0,2025-08-03,2025-08
444,444,Ice cream,21.0,2025-08-03,2025-08
521,521,netflix,35.0,2025-08-06,2025-08
373,373,Carangueijo,50.0,2025-08-07,2025-08
376,376,Carangueijo,50.0,2025-08-07,2025-08
272,272,Feijoada,32.0,2025-08-08,2025-08
70,70,Lamen,19.99,2025-08-08,2025-08
71,71,Lamen,19.99,2025-08-08,2025-08
167,167,Pizza,30.0,2025-08-09,2025-08
497,497,gym,85.0,2025-08-10,2025-08
69,69,Lamen,19.99,2025-08-11,2025-08
375,375,Carangueijo,50.0,2025-08-14,2025-08
166,166,Pizza,59.99,2025-08-14,2025-08
462,462,health insurance,300.0,2025-08-15,2025-08
271,271,Feijoada,32.0,2025-08-16,2025-08
443,443,Ice cream,21.0,2025-08-17,2025-08
374,374,Carangueijo,50.0,2025-08-28,2025-08
270,270,Feijoada,32.0,2025-08-28,2025-08
168,168,Pizza,30.0,2025-08-31,2025-08
