,Unnamed: 0,id,value,date,year-month
113,113,Pizza,30.0,2024-11-03,2024-11
112,112,Pizza,30.0,2024-11-05,2024-11
472,472,braces,100.0,2024-11-05,2024-11
512,512,netflix,25.0,2024-11-06,2024-11
530,530,crunchyroll,15.0,2024-11-06,2024-11
28,28,Lamen,19.99,2024-11-09,2024-11
403,403,Ice cream,21.0,2024-11-09,2024-11
25,25,Lamen,34.99,2024-11-10,2024-11
220,220,Feijoada,24.99,2024-11-11,2024-11
322,322,Carangueijo,50.0,2024-11-14,2024-11
319,319,Carangueijo,50.0,2024-11-14,2024-11
453,453,health insurance,250.0,2024-11-15,2024-11
221,221,Feijoada,32.0,2024-11-19,2024-11
490,490,gym,85.0,2024-11-20,2024-11
223,223,Feijoada,32.0,2024-11-20,2024-11
115,115,Pizza,59.99,2024-11-23,2024-11
114,114,Pizza,59.99,2024-11-23,2024-11
27,27,Lamen,19.99,2024-11-25,2024-11
320,320,Carangueijo,50.0,2024-11-28,2024-11
321,321,Carangueijo,50.0,2024-11-28,2024-11
26,26,Lamen,34.99,2024-11-28,2024-11
222,222,Feijoada,24.99,2024-11-28,2024-11
