,Unnamed: 0,id,value,date,year-month
475,475,braces,100.0,2025-02-05,2025-02
335,335,Carangueijo,50.0,2025-02-06,2025-02
334,334,Carangueijo,50.0,2025-02-06,2025-02
237,237,Feijoada,24.99,2025-02-06,2025-02
515,515,netflix,25.0,2025-02-06,2025-02
533,533,crunchyroll,15.0,2025-02-06,2025-02
38,38,Lamen,34.99,2025-02-09,2025-02
236,236,Feijoada,24.99,2025-02-10,2025-02
36,36,Lamen,19.99,2025-02-12,2025-02
125,125,Pizza,59.99,2025-02-13,2025-02
333,333,Carangueijo,50.0,2025-02-13,2025-02
332,332,Carangueijo,50.0,2025-02-13,2025-02
456,456,health insurance,250.0,2025-02-15,2025-02
123,123,Pizza,59.99,2025-02-15,2025-02
234,234,Feijoada,32.0,2025-02-16,2025-02
235,235,Feijoada,24.99,2025-02-16,2025-02
493,493,gym,85.0,2025-02-20,2025-02
336,336,Carangueijo,50.0,2025-02-20,2025-02
406,406,Ice cream,21.0,2025-02-21,2025-02
37,37,Lamen,19.99,2025-02-23,2025-02
542,542,Drawing Tablet,1200.0,2025-02-26,2025-02
233,233,Feijoada,24.99,2025-02-26,2025-02
124,124,Pizza,59.99,2025-02-27,2025-02
