,Unnamed: 0,id,value,date,year-month
116,116,Pizza,30.0,2024-12-01,2024-12
225,225,Feijoada,24.99,2024-12-02,2024-12
473,473,braces,100.0,2024-12-05,2024-12
531,531,crunchyroll,15.0,2024-12-06,2024-12
513,513,netflix,25.0,2024-12-06,2024-12
32,32,Lamen,34.99,2024-12-07,2024-12
404,404,Ice cream,21.0,2024-12-08,2024-12
29,29,Lamen,19.99,2024-12-09,2024-12
119,119,Pizza,59.99,2024-12-09,2024-12
224,224,Feijoada,24.99,2024-12-12,2024-12
324,324,Carangueijo,50.0,2024-12-12,2024-12
323,323,Carangueijo,50.0,2024-12-12,2024-12
454,454,health insurance,250.0,2024-12-15,2024-12
491,491,gym,85.0,2024-12-20,2024-12
30,30,Lamen,19.99,2024-12-22,2024-12
326,326,Carangueijo,50.0,2024-12-26,2024-12
325,325,Carangueijo,50.0,2024-12-26,2024-12
226,226,Feijoada,32.0,2024-12-27,2024-12
227,227,Feijoada,24.99,2024-12-27,2024-12
117,117,Pizza,30.0,2024-12-28,2024-12
118,118,Pizza,59.99,2024-12-29,2024-12
31,31,Lamen,19.99,2024-12-30,2024-12
