,Unnamed: 0,id,value,date,year-month
90,90,Pizza,30.0,2024-03-05,2024-03
8,8,Lamen,19.99,2024-03-05,2024-03
504,504,netflix,25.0,2024-03-06,2024-03
190,190,Feijoada,24.99,2024-03-08,2024-03
91,91,Pizza,59.99,2024-03-09,2024-03
92,92,Pizza,30.0,2024-03-09,2024-03
293,293,Carangueijo,50.0,2024-03-14,2024-03
290,290,Carangueijo,50.0,2024-03-14,2024-03
7,7,Lamen,19.99,2024-03-15,2024-03
482,482,gym,70.0,2024-03-20,2024-03
189,189,Feijoada,32.0,2024-03-21,2024-03
292,292,Carangueijo,50.0,2024-03-21,2024-03
291,291,Carangueijo,50.0,2024-03-21,2024-03
392,392,Ice cream,21.0,2024-03-25,2024-03
89,89,Pizza,59.99,2024-03-28,2024-03
191,191,Feijoada,24.99,2024-03-29,2024-03
6,6,Lamen,19.99,2024-03-29,2024-03
