,Unnamed: 0,id,value,date,year-month
397,397,Ice cream,21.0,2024-06-03,2024-06
14,14,Lamen,19.99,2024-06-04,2024-06
467,467,braces,100.0,2024-06-05,2024-06
507,507,netflix,25.0,2024-06-06,2024-06
527,527,crunchyroll,15.0,2024-06-06,2024-06
302,302,Carangueijo,50.0,2024-06-06,2024-06
97,97,Pizza,59.99,2024-06-12,2024-06
304,304,Carangueijo,50.0,2024-06-13,2024-06
305,305,Carangueijo,50.0,2024-06-13,2024-06
98,98,Pizza,30.0,2024-06-16,2024-06
13,13,Lamen,19.99,2024-06-17,2024-06
485,485,gym,70.0,2024-06-20,2024-06
196,196,Feijoada,32.0,2024-06-24,2024-06
398,398,Ice cream,21.0,2024-06-24,2024-06
303,303,Carangueijo,50.0,2024-06-27,2024-06
197,197,Feijoada,24.99,2024-06-28,2024-06
