,Unnamed: 0,id,value,date,year-month
540,540,italian course,320.0,2025-11-02,2025-11
177,177,Pizza,30.0,2025-11-03,2025-11
178,178,Pizza,59.99,2025-11-03,2025-11
524,524,netflix,35.0,2025-11-06,2025-11
179,179,Pizza,30.0,2025-11-08,2025-11
78,78,Lamen,34.99,2025-11-08,2025-11
500,500,gym,85.0,2025-11-10,2025-11
77,77,Lamen,34.99,2025-11-10,2025-11
278,278,Feijoada,24.99,2025-11-11,2025-11
279,279,Feijoada,32.0,2025-11-13,2025-11
384,384,Carangueijo,50.0,2025-11-13,2025-11
465,465,health insurance,300.0,2025-11-15,2025-11
386,386,Carangueijo,50.0,2025-11-20,2025-11
448,448,Ice cream,21.0,2025-11-25,2025-11
385,385,Carangueijo,50.0,2025-11-27,2025-11
