,Unnamed: 0,id,value,date,year-month
330,330,Carangueijo,50.0,2025-01-02,2025-01
405,405,Ice cream,21.0,2025-01-05,2025-01
121,121,Pizza,59.99,2025-01-05,2025-01
474,474,braces,100.0,2025-01-05,2025-01
514,514,netflix,25.0,2025-01-06,2025-01
35,35,Lamen,19.99,2025-01-06,2025-01
532,532,crunchyroll,15.0,2025-01-06,2025-01
328,328,Carangueijo,50.0,2025-01-09,2025-01
455,455,health insurance,250.0,2025-01-15,2025-01
122,122,Pizza,30.0,2025-01-19,2025-01
34,34,Lamen,19.99,2025-01-19,2025-01
492,492,gym,85.0,2025-01-20,2025-01
232,232,Feijoada,24.99,2025-01-21,2025-01
327,327,Carangueijo,50.0,2025-01-23,2025-01
231,231,Feijoada,24.99,2025-01-25,2025-01
228,228,Feijoada,32.0,2025-01-28,2025-01
229,229,Feijoada,24.99,2025-01-29,2025-01
230,230,Feijoada,24.99,2025-01-29,2025-01
33,33,Lamen,34.99,2025-01-29,2025-01
120,120,Pizza,59.99,2025-01-29,2025-01
329,329,Carangueijo,50.0,2025-01-30,2025-01
331,331,Carangueijo,50.0,2025-01-30,2025-01
