,Unnamed: 0,id,value,date,year-month
307,307,Carangueijo,50.0,2024-07-04,2024-07
199,199,Feijoada,32.0,2024-07-05,2024-07
468,468,braces,100.0,2024-07-05,2024-07
528,528,crunchyroll,15.0,2024-07-06,2024-07
508,508,netflix,25.0,2024-07-06,2024-07
202,202,Feijoada,32.0,2024-07-06,2024-07
308,308,Carangueijo,50.0,2024-07-11,2024-07
99,99,Pizza,30.0,2024-07-11,2024-07
201,201,Feijoada,32.0,2024-07-13,2024-07
101,101,Pizza,59.99,2024-07-14,2024-07
200,200,Feijoada,24.99,2024-07-14,2024-07
15,15,Lamen,34.99,2024-07-14,2024-07
306,306,Carangueijo,50.0,2024-07-18,2024-07
486,486,gym,70.0,2024-07-20,2024-07
100,100,Pizza,59.99,2024-07-21,2024-07
203,203,Feijoada,24.99,2024-07-25,2024-07
399,399,Ice cream,21.0,2024-07-28,2024-07
198,198,Feijoada,32.0,2024-07-28,2024-07
16,16,Lamen,19.99,2024-07-31,2024-07
