,Unnamed: 0,id,value,date,year-month
282,282,Carangueijo,50.0,2024-01-04,2024-01
84,84,Pizza,30.0,2024-01-06,2024-01
502,502,netflix,25.0,2024-01-06,2024-01
1,1,Lamen,19.99,2024-01-13,2024-01
2,2,Lamen,19.99,2024-01-15,2024-01
81,81,Pizza,59.99,2024-01-15,2024-01
83,83,Pizza,30.0,2024-01-15,2024-01
283,283,Carangueijo,50.0,2024-01-18,2024-01
284,284,Carangueijo,50.0,2024-01-18,2024-01
285,285,Carangueijo,50.0,2024-01-18,2024-01
183,183,Feijoada,24.99,2024-01-19,2024-01
480,480,gym,70.0,2024-01-20,2024-01
390,390,Ice cream,21.0,2024-01-21,2024-01
0,0,Lamen,34.99,2024-01-25,2024-01
185,185,Feijoada,32.0,2024-01-26,2024-01
82,82,Pizza,59.99,2024-01-28,2024-01
184,184,Feijoada,32.0,2024-01-30,2024-01
