,Unnamed: 0,id,value,date,year-month
96,96,Pizza,30.0,2024-05-02,2024-05
301,301,Carangueijo,50.0,2024-05-02,2024-05
95,95,Pizza,59.99,2024-05-05,2024-05
526,526,crunchyroll,15.0,2024-05-06,2024-05
506,506,netflix,25.0,2024-05-06,2024-05
299,299,Carangueijo,50.0,2024-05-09,2024-05
396,396,Ice cream,21.0,2024-05-12,2024-05
395,395,Ice cream,21.0,2024-05-13,2024-05
195,195,Feijoada,24.99,2024-05-13,2024-05
12,12,Lamen,19.99,2024-05-15,2024-05
298,298,Carangueijo,50.0,2024-05-16,2024-05
194,194,Feijoada,24.99,2024-05-17,2024-05
11,11,Lamen,19.99,2024-05-17,2024-05
484,484,gym,70.0,2024-05-20,2024-05
300,300,Carangueijo,50.0,2024-05-30,2024-05
