,Unnamed: 0,id,value,date,year-month
317,317,Carangueijo,50.0,2024-10-03,2024-10
315,315,Carangueijo,50.0,2024-10-03,2024-10
471,471,braces,100.0,2024-10-05,2024-10
219,219,Feijoada,24.99,2024-10-06,2024-10
511,511,netflix,25.0,2024-10-06,2024-10
23,23,Lamen,19.99,2024-10-08,2024-10
316,316,Carangueijo,50.0,2024-10-10,2024-10
216,216,Feijoada,32.0,2024-10-11,2024-10
217,217,Feijoada,24.99,2024-10-11,2024-10
109,109,Pizza,30.0,2024-10-12,2024-10
22,22,Lamen,34.99,2024-10-14,2024-10
402,402,Ice cream,21.0,2024-10-15,2024-10
452,452,health insurance,250.0,2024-10-15,2024-10
318,318,Carangueijo,50.0,2024-10-17,2024-10
489,489,gym,85.0,2024-10-20,2024-10
218,218,Feijoada,24.99,2024-10-24,2024-10
21,21,Lamen,34.99,2024-10-26,2024-10
108,108,Pizza,59.99,2024-10-26,2024-10
110,110,Pizza,30.0,2024-10-27,2024-10
111,111,Pizza,30.0,2024-10-27,2024-10
24,24,Lamen,19.99,2024-10-28,2024-10
