,Unnamed: 0,id,value,date,year-month
10,10,Lamen,19.99,2024-04-01,2024-04
505,505,netflix,25.0,2024-04-06,2024-04
192,192,Feijoada,32.0,2024-04-09,2024-04
297,297,Carangueijo,50.0,2024-04-11,2024-04
394,394,Ice cream,21.0,2024-04-11,2024-04
9,9,Lamen,19.99,2024-04-14,2024-04
483,483,gym,70.0,2024-04-20,2024-04
393,393,Ice cream,21.0,2024-04-23,2024-04
296,296,Carangueijo,50.0,2024-04-25,2024-04
294,294,Carangueijo,50.0,2024-04-25,2024-04
295,295,Carangueijo,50.0,2024-04-25,2024-04
93,93,Pizza,30.0,2024-04-25,2024-04
193,193,Feijoada,24.99,2024-04-26,2024-04
94,94,Pizza,30.0,2024-04-28,2024-04
