,Unnamed: 0,id,value,date,year-month
309,309,Carangueijo,50.0,2024-08-01,2024-08
208,208,Feijoada,24.99,2024-08-01,2024-08
310,310,Carangueijo,50.0,2024-08-01,2024-08
469,469,braces,100.0,2024-08-05,2024-08
204,204,Feijoada,24.99,2024-08-06,2024-08
509,509,netflix,25.0,2024-08-06,2024-08
529,529,crunchyroll,15.0,2024-08-06,2024-08
209,209,Feijoada,32.0,2024-08-09,2024-08
207,207,Feijoada,24.99,2024-08-14,2024-08
311,311,Carangueijo,50.0,2024-08-15,2024-08
450,450,health insurance,250.0,2024-08-15,2024-08
400,400,Ice cream,21.0,2024-08-17,2024-08
102,102,Pizza,30.0,2024-08-18,2024-08
487,487,gym,85.0,2024-08-20,2024-08
206,206,Feijoada,24.99,2024-08-22,2024-08
18,18,Lamen,19.99,2024-08-22,2024-08
17,17,Lamen,19.99,2024-08-24,2024-08
103,103,Pizza,30.0,2024-08-27,2024-08
205,205,Feijoada,24.99,2024-08-29,2024-08
104,104,Pizza,30.0,2024-08-30,2024-08
