,Unnamed: 0,id,value,date,year-month
525,525,netflix,35.0,2025-12-06,2025-12
501,501,gym,85.0,2025-12-10,2025-12
280,280,Feijoada,24.99,2025-12-11,2025-12
180,180,Pizza,30.0,2025-12-12,2025-12
181,181,Pizza,30.0,2025-12-13,2025-12
466,466,health insurance,300.0,2025-12-15,2025-12
387,387,Carangueijo,50.0,2025-12-18,2025-12
449,449,Ice cream,21.0,2025-12-22,2025-12
389,389,Carangueijo,50.0,2025-12-25,2025-12
80,80,Lamen,19.99,2025-12-25,2025-12
388,388,Carangueijo,50.0,2025-12-25,2025-12
79,79,Lamen,19.99,2025-12-25,2025-12
182,182,Pizza,59.99,2025-12-26,2025-12
281,281,Feijoada,32.0,2025-12-30,2025-12
