,Unnamed: 0,id,value,date,year-month
129,129,Pizza,59.99,2025-04-01,2025-04
135,135,Pizza,59.99,2025-04-02,2025-04
42,42,Lamen,19.99,2025-04-02,2025-04
343,343,Carangueijo,50.0,2025-04-03,2025-04
248,248,Feijoada,32.0,2025-04-03,2025-04
138,138,Pizza,59.99,2025-04-04,2025-04
477,477,braces,100.0,2025-04-05,2025-04
132,132,Pizza,59.99,2025-04-05,2025-04
417,417,Ice cream,21.0,2025-04-06,2025-04
517,517,netflix,25.0,2025-04-06,2025-04
44,44,Lamen,34.99,2025-04-06,2025-04
45,45,Lamen,19.99,2025-04-07,2025-04
246,246,Feijoada,32.0,2025-04-09,2025-04
139,139,Pizza,59.99,2025-04-09,2025-04
410,410,Ice cream,21.0,2025-04-10,2025-04
342,342,Carangueijo,50.0,2025-04-10,2025-04
415,415,Ice cream,21.0,2025-04-10,2025-04
350,350,Carangueijo,50.0,2025-04-10,2025-04
347,347,Carangueijo,50.0,2025-04-10,2025-04
413,413,Ice cream,21.0,2025-04-11,2025-04
409,409,Ice cream,21.0,2025-04-12,2025-04
134,134,Pizza,59.99,2025-04-12,2025-04
46,46,Lamen,19.99,2025-04-12,2025-04
416,416,Ice cream,21.0,2025-04-13,2025-04
245,245,Feijoada,32.0,2025-04-13,2025-04
414,414,Ice cream,21.0,2025-04-14,2025-04
48,48,Lamen,19.99,2025-04-14,2025-04
408,408,Ice cream,21.0,2025-04-15,2025-04
249,249,Feijoada,32.0,2025-04-15,2025-04
458,458,health insurance,250.0,2025-04-15,2025-04
344,344,Carangueijo,50.0,2025-04-17,2025-04
43,43,Lamen,19.99,2025-04-17,2025-04
349,349,Carangueijo,50.0,2025-04-17,2025-04
243,243,Feijoada,24.99,2025-04-18,2025-04
412,412,Ice cream,21.0,2025-04-19,2025-04
250,250,Feijoada,32.0,2025-04-19,2025-04
133,133,Pizza,30.0,2025-04-19,2025-04
418,418,Ice cream,21.0,2025-04-20,2025-04
247,247,Feijoada,24.99,2025-04-20,2025-04
49,49,Lamen,34.99,2025-04-21,2025-04
411,411,Ice cream,21.0,2025-04-23,2025-04
130,130,Pizza,30.0,2025-04-24,2025-04
345,345,Carangueijo,50.0,2025-04-24,2025-04
348,348,Carangueijo,50.0,2025-04-24,2025-04
346,346,Carangueijo,50.0,2025-04-24,2025-04
244,244,Feijoada,24.99,2025-04-25,2025-04
137,137,Pizza,30.0,2025-04-26,2025-04
47,47,Lamen,34.99,2025-04-27,2025-04
131,131,Pizza,30.0,2025-04-27,2025-04
136,136,Pizza,59.99,2025-04-28,2025-04
