,Unnamed: 0,id,value,date,year-month
162,162,Pizza,30.0,2025-07-01,2025-07
536,536,italian course,320.0,2025-07-02,2025-07
369,369,Carangueijo,50.0,2025-07-03,2025-07
68,68,Lamen,19.99,2025-07-05,2025-07
67,67,Lamen,19.99,2025-07-05,2025-07
520,520,netflix,35.0,2025-07-06,2025-07
165,165,Pizza,30.0,2025-07-08,2025-07
164,164,Pizza,30.0,2025-07-10,2025-07
267,267,Feijoada,32.0,2025-07-10,2025-07
496,496,gym,85.0,2025-07-10,2025-07
372,372,Carangueijo,50.0,2025-07-10,2025-07
442,442,Ice cream,21.0,2025-07-11,2025-07
163,163,Pizza,30.0,2025-07-12,2025-07
66,66,Lamen,19.99,2025-07-13,2025-07
461,461,health insurance,300.0,2025-07-15,2025-07
371,371,Carangueijo,50.0,2025-07-17,2025-07
441,441,Ice cream,21.0,2025-07-19,2025-07
268,268,Feijoada,24.99,2025-07-20,2025-07
370,370,Carangueijo,50.0,2025-07-24,2025-07
269,269,Feijoada,24.99,2025-07-27,2025-07
