,Unnamed: 0,id,value,date,year-month
288,288,Carangueijo,50.0,2024-02-01,2024-02
188,188,Feijoada,24.99,2024-02-06,2024-02
503,503,netflix,25.0,2024-02-06,2024-02
3,3,Lamen,19.99,2024-02-07,2024-02
289,289,Carangueijo,50.0,2024-02-08,2024-02
85,85,Pizza,59.99,2024-02-10,2024-02
5,5,Lamen,19.99,2024-02-12,2024-02
86,86,Pizza,30.0,2024-02-14,2024-02
391,391,Ice cream,21.0,2024-02-18,2024-02
186,186,Feijoada,24.99,2024-02-18,2024-02
481,481,gym,70.0,2024-02-20,2024-02
4,4,Lamen,34.99,2024-02-21,2024-02
287,287,Carangueijo,50.0,2024-02-22,2024-02
286,286,Carangueijo,50.0,2024-02-22,2024-02
87,87,Pizza,30.0,2024-02-23,2024-02
88,88,Pizza,30.0,2024-02-25,2024-02
541,541,Bike,750.0,2024-02-26,2024-02
187,187,Feijoada,24.99,2024-02-29,2024-02
