,Unnamed: 0,id,value,date,year-month
40,40,Lamen,19.99,2025-03-01,2025-03
407,407,Ice cream,21.0,2025-03-03,2025-03
476,476,braces,100.0,2025-03-05,2025-03
338,338,Carangueijo,50.0,2025-03-06,2025-03
516,516,netflix,25.0,2025-03-06,2025-03
126,126,Pizza,59.99,2025-03-06,2025-03
340,340,Carangueijo,50.0,2025-03-06,2025-03
534,534,crunchyroll,15.0,2025-03-06,2025-03
39,39,Lamen,19.99,2025-03-12,2025-03
240,240,Feijoada,32.0,2025-03-12,2025-03
339,339,Carangueijo,50.0,2025-03-13,2025-03
127,127,Pizza,59.99,2025-03-13,2025-03
238,238,Feijoada,32.0,2025-03-13,2025-03
457,457,health insurance,250.0,2025-03-15,2025-03
337,337,Carangueijo,50.0,2025-03-20,2025-03
494,494,gym,85.0,2025-03-20,2025-03
239,239,Feijoada,24.99,2025-03-21,2025-03
128,128,Pizza,30.0,2025-03-26,2025-03
242,242,Feijoada,32.0,2025-03-27,2025-03
341,341,Carangueijo,50.0,2025-03-27,2025-03
41,41,Lamen,34.99,2025-03-27,2025-03
241,241,Feijoada,32.0,2025-03-30,2025-03
